1;Accons
2;Albon-d’Ardèche
3;Arcens
4;Belsentes (Les Nonières et Saint-Julien-Labrousse)
5;Chanéac
6;Devesset
7;Dornas
8;Issamoulenc
9;Jaunac
10;Lachapelle-sous-Chanéac
11;Le Chambon
12;Le Cheylard
13;Mariac
14;Mars
15;Rochepaule
16;Saint-Agrève
17;Saint-Andéol-de-Fourchades
18;Saint-André-en-Vivarais
19;Saint-Barthélemy-le-Meil
20;Saint-Christol
21;Saint-Cierge-sous-le-Cheylard
22;Saint-Clément
23;Saint-Genest-Lachamp
24;Saint-Jean-Roure
25;Saint-Jeure-d’Andaure
26;Saint-Julien-d'Intres (Intres et St-Julien-Boutières)
27;Saint-Martin-de-Valamas
28;Saint-Michel-d’Aurance
29;Saint-Pierreville
30;Valeyrieux
31;Comcom Pays de Lamastre
32;Capca Privas
33;Département Ardèche